Designator,Footprint,Quantity,Value,LCSC Part #
"BT1, BT2",BatteryHolder_Keystone_3034_1x20mm,2,Battery_Cell,
BZ1,MagneticBuzzer_ProSignal_ABI-009-RC,1,Buzzer,
"C1, C2",CP_Radial_D8.0mm_P5.00mm,2,C,
"D1, D2, D3, D4, D5, D6",LED_D5.0mm,6,LED,
M1,PinHeader_1x02_P2.54mm_Vertical,1,Motor_DC,
"Q1, Q2",TO-92L_HandSolder,2,NPN,
"RLA1, RLA2",R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,2,R_Large_AMV,
"RSA1, RSA2",R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,2,R_Small_amv,
RSB1,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,1,R_Small_buzzer,
"RSD1, RSD2, RSD3, RSD4, RSD5, RSD6",R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,6,R_Small_LED,
RSM1,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,1,R_Small_motor,
SW1,SW_PUSH_6mm,1,SW_Push,
